workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp2-tier1,Rekognition Image Group2 Tier1 (0-1M images/mo),detectlabels,0.001,image,,,,,,us-east-1,First 1M images/month; DetectFaces DetectModerationLabels DetectLabels DetectText RecognizeCelebrities DetectProtectiveEquipment,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp2-tier2,Rekognition Image Group2 Tier2 (1M-5M images/mo),detectlabels,0.0008,image,,,,,,us-east-1,Images 1M-5M/month; Group2 APIs,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp2-tier3,Rekognition Image Group2 Tier3 (5M-35M images/mo),detectlabels,0.0006,image,,,,,,us-east-1,Images 5M-35M/month,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp2-tier4,Rekognition Image Group2 Tier4 (35M+ images/mo),detectlabels,0.00025,image,,,,,,us-east-1,Images 35M+/month; lowest tier; high volume,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp1-tier1,Rekognition Image Group1 Tier1 (0-1M images/mo),comparefacesbyimage,0.001,image,,,,,,us-east-1,First 1M images/month; AssociateFaces CompareFaces IndexFaces SearchFacesbyImage SearchFaces SearchUsersByImage SearchUsers,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp1-tier2,Rekognition Image Group1 Tier2 (1M-5M images/mo),comparefacesbyimage,0.0008,image,,,,,,us-east-1,Images 1M-5M/month; Group1 APIs,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp1-tier3,Rekognition Image Group1 Tier3 (5M-35M images/mo),comparefacesbyimage,0.0006,image,,,,,,us-east-1,Images 5M-35M/month,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-grp1-tier4,Rekognition Image Group1 Tier4 (35M+ images/mo),comparefacesbyimage,0.0004,image,,,,,,us-east-1,Images 35M+/month; Group1 lowest tier,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-props-tier1,Rekognition Image Properties Tier1 (0-1M images/mo),imageproperties,0.00075,image,,,,,,us-east-1,First 1M images/month; DetectLabels IMAGE_PROPERTIES mode; color/quality detection,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-img-props-tier2,Rekognition Image Properties Tier2 (1M-5M images/mo),imageproperties,0.0006,image,,,,,,us-east-1,Images 1M-5M/month; Image Properties,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-video-stored-label,Rekognition Video Stored - Label Detection,video-label-detection,0.10,minute,,,,,,us-east-1,Per minute of stored S3 video; multiple APIs per section billed separately,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-video-stored-shot,Rekognition Video Stored - Shot Detection,video-shot-detection,0.05,minute,,,,,,us-east-1,Per minute of stored S3 video; shot boundary detection,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
moderation,aws_rekognition,pay_as_you_go,rekognition-video-stored-moderation,Rekognition Video Stored - Content Moderation,video-content-moderation,0.10,minute,,,,,,us-east-1,Per minute; explicit content detection in stored video,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-video-stream-label,Rekognition Streaming Video - Label Detection,streaming-video-label,0.00817,minute,,,,,,us-east-1,Per minute; Kinesis Video Stream real-time analysis; up to 120s per event,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-video-stream-face,Rekognition Streaming Video - Face Detection,streaming-video-face,0.00817,minute,,,,,,us-east-1,Per minute; real-time face detection in streams,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-face-metadata-storage,Rekognition Face Metadata Storage,face-metadata-storage,0.00001,face_vector_month,,,,,,us-east-1,Per face vector per month; pro-rated for partial months; user vectors same price,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-face-liveness-tier1,Rekognition Face Liveness (0-500K checks/mo),face-liveness,0.015,check,,,,,,us-east-1,Per liveness check; first 500K/month; deepfake and spoof detection,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-face-liveness-tier2,Rekognition Face Liveness (500K-3M checks/mo),face-liveness,0.0125,check,,,,,,us-east-1,Per liveness check; 500K-3M/month,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-face-liveness-tier3,Rekognition Face Liveness (3M+ checks/mo),face-liveness,0.010,check,,,,,,us-east-1,Per liveness check; 3M+/month; high volume tier,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
vision,aws_rekognition,pay_as_you_go,rekognition-custom-labels-training,Rekognition Custom Labels Training,custom-labels-training,1.0,hour,,,,,,us-east-1,Per training hour; typically under 24 hours; auto-terminates at 72h,https://aws.amazon.com/rekognition/pricing/,2025-02-19,official
