workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,fireworks,per_token,accounts_fireworks_models_firellava_13b_input,FireLLaVA-13B Input,accounts/fireworks/models/firellava-13b,0.1,1m_tokens,,,,,,global,Input tokens - FireLLaVA family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_firellava_13b_output,FireLLaVA-13B Output,accounts/fireworks/models/firellava-13b,0.1,1m_tokens,,,,,,global,Output tokens - FireLLaVA family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_firefunction_v1_input,FireFunction v1 Input,accounts/fireworks/models/firefunction-v1,0.9,1m_tokens,,,,,,global,Input tokens - FireFunction family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_firefunction_v1_output,FireFunction v1 Output,accounts/fireworks/models/firefunction-v1,0.9,1m_tokens,,,,,,global,Output tokens - FireFunction family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_mixtral_8x7b_instruct_input,Mixtral 8x7B Instruct Input,accounts/fireworks/models/mixtral-8x7b-instruct,0.1,1m_tokens,,,,,,global,Input tokens - Mixtral family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_mixtral_8x7b_instruct_output,Mixtral 8x7B Instruct Output,accounts/fireworks/models/mixtral-8x7b-instruct,0.1,1m_tokens,,,,,,global,Output tokens - Mixtral family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_llama_v3_70b_instruct_input,Llama v3 70B Instruct Input,accounts/fireworks/models/llama-v3-70b-instruct,0.9,1m_tokens,,,,,,global,Input tokens - Llama family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_llama_v3_70b_instruct_output,Llama v3 70B Instruct Output,accounts/fireworks/models/llama-v3-70b-instruct,0.9,1m_tokens,,,,,,global,Output tokens - Llama family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_bleat_adapter_input,Bleat Adapter Input,accounts/fireworks/models/bleat-adapter,0.9,1m_tokens,,,,,,global,Input tokens - Bleat family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
llm,fireworks,per_token,accounts_fireworks_models_bleat_adapter_output,Bleat Adapter Output,accounts/fireworks/models/bleat-adapter,0.9,1m_tokens,,,,,,global,Output tokens - Bleat family,https://docs.fireworks.ai/getting-started/models,2026-02-16,high
