provider,gpu_type,billing_mode,price_per_gpu_hour_usd,region,workload_type,throughput_value,throughput_unit,min_gpus,max_gpus,startup_latency_sec,source_url,confidence,last_verified_at
baseten,L4,autoscale_hourly,0.8484,us-east-1,llm,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,embeddings,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,speech_to_text,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,text_to_speech,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,vision,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,image_generation,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,video_generation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,L4,autoscale_hourly,0.8484,us-east-1,moderation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,llm,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,embeddings,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,speech_to_text,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,text_to_speech,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,vision,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,image_generation,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,video_generation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,A10G,autoscale_hourly,1.2072,us-east-1,moderation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,llm,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,embeddings,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,speech_to_text,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,text_to_speech,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,vision,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,image_generation,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,video_generation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,A100_80GB,autoscale_hourly,4.0002,us-east-1,moderation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,llm,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,embeddings,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,speech_to_text,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,text_to_speech,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,vision,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,image_generation,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,video_generation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,H100_80GB,autoscale_hourly,6.4998,us-east-1,moderation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,llm,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,embeddings,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,speech_to_text,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,text_to_speech,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,vision,,,1,,30,https://www.baseten.co/pricing/,high,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,image_generation,,,1,,30,https://www.baseten.co/pricing/,official,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,video_generation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
baseten,B200,autoscale_hourly,9.9798,us-east-1,moderation,,,1,,30,https://www.baseten.co/pricing/,estimated,2026-02-26
