workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,openai,per_token,o1_input,o1 Input,o1,15.0,1m_tokens,,,,,,global,Reasoning model with extended thinking,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o1_output,o1 Output,o1,60.0,1m_tokens,,,,,,global,Reasoning model with extended thinking,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o1_mini_input,o1-mini Input,o1-mini,3.0,1m_tokens,,,,,,global,Fast reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o1_mini_output,o1-mini Output,o1-mini,12.0,1m_tokens,,,,,,global,Fast reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o1_preview_input,o1-preview Input,o1-preview,15.0,1m_tokens,,,,,,global,Preview reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o1_preview_output,o1-preview Output,o1-preview,60.0,1m_tokens,,,,,,global,Preview reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o3_mini_input,o3-mini Input,o3-mini,1.1,1m_tokens,,,,,,global,Latest compact reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,o3_mini_output,o3-mini Output,o3-mini,4.4,1m_tokens,,,,,,global,Latest compact reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_2_input,GPT-5.2 Input,gpt-5.2,100.0,1m_tokens,,,,,,global,Flagship reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_2_output,GPT-5.2 Output,gpt-5.2,400.0,1m_tokens,,,,,,global,Flagship reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_2_pro_input,GPT-5.2 Pro Input,gpt-5.2-pro,1200.0,1m_tokens,,,,,,global,"Most capable, highest cost",https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_2_pro_output,GPT-5.2 Pro Output,gpt-5.2-pro,4800.0,1m_tokens,,,,,,global,"Most capable, highest cost",https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_1_input,GPT-5.1 Input,gpt-5.1,90.0,1m_tokens,,,,,,global,Previous flagship reasoning,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_1_output,GPT-5.1 Output,gpt-5.1,360.0,1m_tokens,,,,,,global,Previous flagship reasoning,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_input,GPT-5 Input,gpt-5,60.0,1m_tokens,,,,,,global,Original GPT-5,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_output,GPT-5 Output,gpt-5,240.0,1m_tokens,,,,,,global,Original GPT-5,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_nano_input,GPT-5 nano Input,gpt-5-nano,0.4,1m_tokens,,,,,,global,Fastest reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_nano_output,GPT-5 nano Output,gpt-5-nano,1.6,1m_tokens,,,,,,global,Fastest reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_mini_input,GPT-5 mini Input,gpt-5-mini,5.0,1m_tokens,,,,,,global,Balanced reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_5_mini_output,GPT-5 mini Output,gpt-5-mini,20.0,1m_tokens,,,,,,global,Balanced reasoning model,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4o_input,GPT-4o Input,gpt-4o,2.5,1m_tokens,,,,,,global,Current GPT-4 flagship,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4o_output,GPT-4o Output,gpt-4o,10.0,1m_tokens,,,,,,global,Current GPT-4 flagship,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4o_mini_input,GPT-4o mini Input,gpt-4o-mini,0.15,1m_tokens,,,,,,global,"Fast, affordable GPT-4",https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4o_mini_output,GPT-4o mini Output,gpt-4o-mini,0.6,1m_tokens,,,,,,global,"Fast, affordable GPT-4",https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4_1_input,GPT-4.1 Input,gpt-4.1,2.0,1m_tokens,,,,,,global,Enhanced GPT-4,https://openai.com/api/pricing/,2026-02-16,high
llm,openai,per_token,gpt_4_1_output,GPT-4.1 Output,gpt-4.1,8.0,1m_tokens,,,,,,global,Enhanced GPT-4,https://openai.com/api/pricing/,2026-02-16,high
