workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,anthropic,per_token,ac_opus46_input,Claude Opus 4.6 Input,claude-opus-4-6,5.0,1m_tokens,,,,,,global,Context: 200k. Most intelligent model. Batch 50% off.,https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus46_output,Claude Opus 4.6 Output,claude-opus-4-6,25.0,1m_tokens,,,,,,global,Context: 200k. Most intelligent model. Batch 50% off.,https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus46_cache_write_5m,Claude Opus 4.6 Cache Write 5min,claude-opus-4-6,6.25,1m_tokens,,,,,,global,5-minute prompt cache write (1.25x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus46_cache_write_1h,Claude Opus 4.6 Cache Write 1hr,claude-opus-4-6,10.0,1m_tokens,,,,,,global,1-hour prompt cache write (2x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus46_cache_read,Claude Opus 4.6 Cache Read,claude-opus-4-6,0.5,1m_tokens,,,,,,global,Prompt cache read (0.1x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus45_input,Claude Opus 4.5 Input,claude-opus-4-5,5.0,1m_tokens,,,,,,global,Context: 200k. Flagship model. 67% cheaper than Opus 4.1.,https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus45_output,Claude Opus 4.5 Output,claude-opus-4-5,25.0,1m_tokens,,,,,,global,Context: 200k. Flagship model. 67% cheaper than Opus 4.1.,https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus45_cache_write_5m,Claude Opus 4.5 Cache Write 5min,claude-opus-4-5,6.25,1m_tokens,,,,,,global,5-minute prompt cache write (1.25x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus45_cache_write_1h,Claude Opus 4.5 Cache Write 1hr,claude-opus-4-5,10.0,1m_tokens,,,,,,global,1-hour prompt cache write (2x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus45_cache_read,Claude Opus 4.5 Cache Read,claude-opus-4-5,0.5,1m_tokens,,,,,,global,Prompt cache read (0.1x base),https://www.anthropic.com/pricing,2026-02-18,official
llm,anthropic,per_token,ac_opus41_input,Claude Opus 4.1 Input,claude-opus-4-1,15.0,1m_tokens,,,,,,global,Context: 200k. Legacy. Real-world coding focus.,https://www.anthropic.com/pricing,2026-02-18,official
