workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
vision,aws_rekognition,per_image,rekog_detectlabels_tier1,DetectLabels (Group 2) first 1M images,rekog_detectlabels_tier1,0.001,image,,,,,,us-east-1,Tiered pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_image,rekog_detectlabels_tier2,DetectLabels (Group 2) next 4M images,rekog_detectlabels_tier2,0.0008,image,,,,,,us-east-1,Tiered pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_image,rekog_detectlabels_tier3,DetectLabels (Group 2) next 30M images,rekog_detectlabels_tier3,0.0006,image,,,,,,us-east-1,Tiered pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_image,rekog_detectlabels_tier4,DetectLabels (Group 2) next 45M images,rekog_detectlabels_tier4,0.00025,image,,,,,,us-east-1,Tiered pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_image,rekog_image_properties_tier1,DetectLabels IMAGE_PROPERTIES first 1M images,rekog_image_properties_tier1,0.00075,image,,,,,,us-east-1,Image Properties pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_image,rekog_image_properties_tier2,DetectLabels IMAGE_PROPERTIES next tier (example),rekog_image_properties_tier2,0.0006,image,,,,,,us-east-1,Image Properties pricing from AWS pricing example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_face_month,rekog_face_metadata_storage,Face metadata storage,rekog_face_metadata_storage,1e-05,face_month,,,,,,us-east-1,Per-face per-month storage charge.,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_video_minute,rekog_video_stored_label_detection,Stored video analysis - Label Detection,rekog_video_stored_label_detection,0.1,video_minute,,,,,,us-east-1,From AWS stored video analysis example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
vision,aws_rekognition,per_video_minute,rekog_video_stored_shot_detection,Stored video analysis - Shot Detection,rekog_video_stored_shot_detection,0.05,video_minute,,,,,,us-east-1,From AWS stored video analysis example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
moderation,aws_rekognition,per_video_minute,rekog_video_stored_content_moderation,Stored video analysis - Content Moderation,rekog_video_stored_content_moderation,0.1,video_minute,,,,,,us-east-1,From AWS stored video analysis example (US East - N. Virginia).,https://aws.amazon.com/rekognition/pricing/,2026-02-20,high
