workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
image_generation,fal_ai,pay_as_you_go,fal-flux1-dev,FLUX.1 [dev] Text-to-Image,fal-ai/flux/dev,0.025,megapixel,,,,,,global,Per megapixel; 1024x1024 ≈ $0.025/image,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux1-schnell,FLUX.1 [schnell] Text-to-Image,fal-ai/flux/schnell,0.003,megapixel,,,,,,global,Per megapixel; ultra-fast 1-4 step; 1024x1024 ≈ $0.003,https://fal.ai/models/fal-ai/flux/schnell,2025-02-19,official
image_generation,fal_ai,pay_as_you_go,fal-flux11-pro,FLUX 1.1 [pro] Text-to-Image,fal-ai/flux-pro/v1.1,0.04,megapixel,,,,,,global,Per megapixel; $0.04/MP; 1MP image = $0.04,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux11-pro-ultra,FLUX 1.1 [pro] Ultra (up to 4MP),fal-ai/flux-pro/v1.1-ultra,0.06,image,,,,,,global,Per image; up to 4MP (2048x2048),https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux11-pro-ultra-finetuned,FLUX 1.1 [pro] Ultra Finetuned,fal-ai/flux-pro/v1.1-ultra-finetuned,0.07,image,,,,,,global,Per image; finetuned ultra variant,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-pro-v1-canny,FLUX [pro] v1 Canny Control,fal-ai/flux-pro/v1/canny,0.05,megapixel,,,,,,global,Per megapixel; structural guidance via canny edges,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-pro-v1-canny-finetuned,FLUX [pro] v1 Canny Finetuned,fal-ai/flux-pro/v1/canny-finetuned,0.06,megapixel,,,,,,global,Per megapixel; finetuned canny control,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-pro-v1-depth,FLUX [pro] v1 Depth Control,fal-ai/flux-pro/v1/depth,0.05,megapixel,,,,,,global,Per megapixel; depth map guided generation,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-pro-v1-depth-finetuned,FLUX [pro] v1 Depth Finetuned,fal-ai/flux-pro/v1/depth-finetuned,0.06,megapixel,,,,,,global,Per megapixel; finetuned depth control,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-pro-v1-fill-finetuned,FLUX [pro] v1 Fill/Inpainting Finetuned,fal-ai/flux-pro/v1/fill-finetuned,0.06,megapixel,,,,,,global,Per megapixel; inpainting with fill finetuning,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-lora,FLUX LoRA Text-to-Image,fal-ai/flux-lora,0.035,megapixel,,,,,,global,Per megapixel; custom LoRA fine-tunes,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-lora-canny,FLUX LoRA Canny Control,fal-ai/flux-lora-canny,0.035,megapixel,,,,,,global,Per megapixel; LoRA + canny structural control,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-control-canny,FLUX Control LoRA Canny,fal-ai/flux-control-lora-canny,0.04,megapixel,,,,,,global,Per megapixel; control LoRA with canny edges,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-control-depth,FLUX Control LoRA Depth,fal-ai/flux-control-lora-depth,0.04,megapixel,,,,,,global,Per megapixel; depth-guided control,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-flux-general,FLUX General (Custom),fal-ai/flux-general,0.075,megapixel,,,,,,global,Per megapixel; general purpose FLUX endpoint,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-hidream-i1-fast,HiDream I1 Fast,fal-ai/hidream-i1-fast,0.01,megapixel,,,,,,global,Per megapixel; fast HiDream image generation,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-hidream-i1-dev,HiDream I1 Dev,fal-ai/hidream-i1-dev,0.03,megapixel,,,,,,global,Per megapixel; dev quality HiDream,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-hidream-i1-full,HiDream I1 Full,fal-ai/hidream-i1-full,0.05,megapixel,,,,,,global,Per megapixel; full quality HiDream,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-hidream-i1-full-i2i,HiDream I1 Full Image-to-Image,fal-ai/hidream-i1-full/image-to-image,0.05,megapixel,,,,,,global,Per megapixel; image-to-image variant,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
image_generation,fal_ai,pay_as_you_go,fal-hidream-e1-full,HiDream E1 Full (Image Editing),fal-ai/hidream-e1-full,0.06,image,,,,,,global,Per image; editing model,https://gist.github.com/azer/6e8ffa228cb5d6f5807cd4d895b191a4,2025-05-15,vendor_list
