workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,fireworks,per_token,fw_deepseek_v3p2_input,DeepSeek V3.2 Input,fireworks/deepseek-v3p2,0.56,1m_tokens,,,,,,global,DeepSeek V3 family pricing,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3p2_output,DeepSeek V3.2 Output,fireworks/deepseek-v3p2,1.68,1m_tokens,,,,,,global,DeepSeek V3 family pricing,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3p1_input,DeepSeek V3.1 Input,fireworks/deepseek-v3p1,0.56,1m_tokens,351,tokens/sec,,,,global,351 t/s throughput,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3p1_output,DeepSeek V3.1 Output,fireworks/deepseek-v3p1,1.68,1m_tokens,351,tokens/sec,,,,global,351 t/s throughput,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3_input,DeepSeek V3 Input,fireworks/deepseek-v3,0.56,1m_tokens,,,,,,global,DeepSeek V3 family. 131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3_output,DeepSeek V3 Output,fireworks/deepseek-v3,1.68,1m_tokens,,,,,,global,DeepSeek V3 family. 131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3_0324_input,DeepSeek V3 03-24 Input,fireworks/deepseek-v3-0324,0.56,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_v3_0324_output,DeepSeek V3 03-24 Output,fireworks/deepseek-v3-0324,1.68,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_glm47_input,GLM-4.7 Input,fireworks/glm-4p7,0.6,1m_tokens,430,tokens/sec,,,,global,430 t/s throughput. 202752 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_glm47_output,GLM-4.7 Output,fireworks/glm-4p7,2.2,1m_tokens,430,tokens/sec,,,,global,430 t/s throughput. 202752 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_glm5_input,GLM-5 Input,fireworks/glm-5,1.0,1m_tokens,,,,,,global,202752 context. Cached input $0.20/MTok,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_glm5_output,GLM-5 Output,fireworks/glm-5,3.2,1m_tokens,,,,,,global,202752 context. Cached input $0.20/MTok,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_qwen3_vl_30b_input,Qwen3 VL 30B A3B Instruct Input,fireworks/qwen3-vl-30b-a3b-instruct,0.15,1m_tokens,,,,,,global,Vision+LLM MoE. 262144 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_qwen3_vl_30b_output,Qwen3 VL 30B A3B Instruct Output,fireworks/qwen3-vl-30b-a3b-instruct,0.6,1m_tokens,,,,,,global,Vision+LLM MoE. 262144 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_instruct_input,Kimi K2 Instruct Input,fireworks/kimi-k2-instruct,0.6,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_instruct_output,Kimi K2 Instruct Output,fireworks/kimi-k2-instruct,2.5,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_thinking_input,Kimi K2 Thinking Input,fireworks/kimi-k2-thinking,0.6,1m_tokens,,,,,,global,,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_thinking_output,Kimi K2 Thinking Output,fireworks/kimi-k2-thinking,2.5,1m_tokens,,,,,,global,,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_0905_input,Kimi K2 Instruct 0905 Input,fireworks/kimi-k2-instruct-0905,0.6,1m_tokens,,,,,,global,262144 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2_0905_output,Kimi K2 Instruct 0905 Output,fireworks/kimi-k2-instruct-0905,2.5,1m_tokens,,,,,,global,262144 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2p5_input,Kimi K2.5 Input,fireworks/kimi-k2p5,0.6,1m_tokens,,,,,,global,Vision model. 262144 context. Cached input $0.10,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_kimi_k2p5_output,Kimi K2.5 Output,fireworks/kimi-k2p5,3.0,1m_tokens,,,,,,global,Vision model. 262144 context. Cached input $0.10,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_gpt_oss_120b_input,OpenAI gpt-oss-120b Input,fireworks/gpt-oss-120b,0.15,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_gpt_oss_120b_output,OpenAI gpt-oss-120b Output,fireworks/gpt-oss-120b,0.6,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_gpt_oss_20b_input,OpenAI gpt-oss-20b Input,fireworks/gpt-oss-20b,0.07,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_gpt_oss_20b_output,OpenAI gpt-oss-20b Output,fireworks/gpt-oss-20b,0.3,1m_tokens,,,,,,global,131072 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2p5_input,MiniMax M2.5 Input,fireworks/minimax-m2p5,1.2,1m_tokens,,,,,,global,Blended price. 196608 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2p5_output,MiniMax M2.5 Output,fireworks/minimax-m2p5,1.2,1m_tokens,,,,,,global,Blended price. 196608 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2p1_input,MiniMax M2.1 Input,fireworks/minimax-m2p1,0.3,1m_tokens,,,,,,global,204800 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2p1_output,MiniMax M2.1 Output,fireworks/minimax-m2p1,1.2,1m_tokens,,,,,,global,204800 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2_input,MiniMax M2 Input,fireworks/minimax-m2,0.3,1m_tokens,,,,,,global,196608 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_minimax_m2_output,MiniMax M2 Output,fireworks/minimax-m2,1.2,1m_tokens,,,,,,global,196608 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_cogito_671b_input,Cogito 671B v2.1 Input,cogito/cogito-671b-v2-p1,1.2,1m_tokens,,,,,,global,Blended. 163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_cogito_671b_output,Cogito 671B v2.1 Output,cogito/cogito-671b-v2-p1,1.2,1m_tokens,,,,,,global,Blended. 163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_glm45,GLM-4.5,fireworks/glm-4p5,0.9,1m_tokens,,,,,,global,Blended price. Context: 131072. MoE 56-176B pricing estimate,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_glm45_air,GLM-4.5-Air,fireworks/glm-4p5-air,0.5,1m_tokens,,,,,,global,Blended price. Context: 131072. MoE 0-56B pricing estimate,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_glm46,GLM-4.6,fireworks/glm-4p6,0.9,1m_tokens,,,,,,global,Blended price. Context: 202752. >16B pricing,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_glm47_flash,GLM-4.7 Flash,fireworks/glm-4p7-flash,0.2,1m_tokens,,,,,,global,Blended price. Context: 202752. 4B-16B pricing estimate,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_input,DeepSeek R1 (Fast) Input,fireworks/deepseek-r1,3.0,1m_tokens,,,,,,global,>300B MoE tier pricing. 163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_output,DeepSeek R1 (Fast) Output,fireworks/deepseek-r1,8.0,1m_tokens,,,,,,global,>300B MoE tier pricing. 163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_0528_input,DeepSeek R1 05/28 Input,fireworks/deepseek-r1-0528,3.0,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_0528_output,DeepSeek R1 05/28 Output,fireworks/deepseek-r1-0528,8.0,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_basic_input,DeepSeek R1 (Basic) Input,fireworks/deepseek-r1-basic,3.0,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_basic_output,DeepSeek R1 (Basic) Output,fireworks/deepseek-r1-basic,8.0,1m_tokens,,,,,,global,163840 context,https://fireworks.ai/pricing,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_distill_llama70,DeepSeek R1 Distill Llama 70B,fireworks/deepseek-r1-distill-llama-70b,0.9,1m_tokens,,,,,,global,Blended price. Context: 131072. 70B = >16B tier,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_distill_llama8,DeepSeek R1 Distill Llama 8B,fireworks/deepseek-r1-distill-llama-8b,0.2,1m_tokens,,,,,,global,Blended price. Context: 131072. 4-16B tier,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_distill_qwen14,DeepSeek R1 Distill Qwen 14B,fireworks/deepseek-r1-distill-qwen-14b,0.2,1m_tokens,,,,,,global,Blended price. Context: 131072. 4-16B tier,https://fireworks.ai/models,2026-02-18,official
llm,fireworks,per_token,fw_deepseek_r1_distill_qwen32,DeepSeek R1 Distill Qwen 32B,fireworks/deepseek-r1-distill-qwen-32b,0.9,1m_tokens,,,,,,global,Blended price. Context: 131072. >16B tier,https://fireworks.ai/models,2026-02-18,official
