workload_type,provider,billing_type,sku_key,sku_name,model_key,unit_price_usd,unit_name,throughput_value,throughput_unit,memory_gb,latency_p50_ms,latency_p95_ms,region,notes,source_url,source_date,confidence
llm,openai,per_token,oa_gpt5_input,GPT-5 Input,gpt-5,1.25,1m_tokens,,,,,,global,Context: 400k. Flagship model,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_output,GPT-5 Output,gpt-5,10.0,1m_tokens,,,,,,global,Context: 400k. Flagship model,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_cache_read,GPT-5 Cache Read,gpt-5,0.125,1m_tokens,,,,,,global,Cached input rate,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_pro_input,GPT-5 Pro Input,gpt-5-pro,15.0,1m_tokens,,,,,,global,Context: 400k. Maximum capability,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_pro_output,GPT-5 Pro Output,gpt-5-pro,120.0,1m_tokens,,,,,,global,Context: 400k. Maximum capability,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_codex_input,GPT-5 Codex Input,gpt-5-codex,1.25,1m_tokens,,,,,,global,Context: 400k. Coding model,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_codex_output,GPT-5 Codex Output,gpt-5-codex,10.0,1m_tokens,,,,,,global,Context: 400k. Coding model,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_codex_cache_read,GPT-5 Codex Cache Read,gpt-5-codex,0.125,1m_tokens,,,,,,global,Cached input rate,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_chat_input,GPT-5 Chat Input,gpt-5-chat,1.25,1m_tokens,,,,,,global,Context: 128k. Chat interface,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_chat_output,GPT-5 Chat Output,gpt-5-chat,10.0,1m_tokens,,,,,,global,Context: 128k. Chat interface,https://openai.com/api/pricing/,2026-02-18,official
llm,openai,per_token,oa_gpt5_chat_cache_read,GPT-5 Chat Cache Read,gpt-5-chat,0.125,1m_tokens,,,,,,global,Cached input rate,https://openai.com/api/pricing/,2026-02-18,official
